Date,Product,Category,Quantity,Price,Region
2025-04-04,Tea,Grocery,1,2687,Delhi
2025-03-18,Chips,Grocery,19,4667,Chennai
2025-04-08,Coffee,Grocery,3,2589,Delhi
2025-03-16,Rice,Grocery,10,2495,Chennai
2025-01-17,Chips,Grocery,13,2692,Delhi
2025-02-27,Butter,Grocery,3,3421,Chennai
2025-03-15,Lentils,Grocery,14,1374,Mumbai
2025-04-08,Coffee,Grocery,20,705,Delhi
2025-01-16,Coffee,Grocery,13,2442,Delhi
2025-03-22,Chips,Grocery,16,281,Kolkata
2025-01-26,Eggs,Grocery,1,2882,Kolkata
2025-02-13,Lentils,Grocery,12,1560,Delhi
2025-04-02,Lentils,Grocery,1,3499,Mumbai
2025-03-01,Lentils,Grocery,8,4318,Delhi
2025-03-19,Coffee,Grocery,15,3427,Mumbai
2025-03-24,Bread,Grocery,12,1606,Kolkata
2025-03-15,Eggs,Grocery,15,965,Mumbai
2025-03-23,Coffee,Grocery,16,1933,Delhi
2025-04-11,Lentils,Grocery,8,2860,Kolkata
2025-02-13,Chips,Grocery,20,2672,Delhi
2025-02-02,Milk,Grocery,19,281,Kolkata
2025-04-10,Coffee,Grocery,20,1751,Mumbai
2025-01-21,Tea,Grocery,19,4496,Delhi
2025-02-23,Lentils,Grocery,1,2392,Kolkata
2025-02-05,Chips,Grocery,6,1335,Chennai
2025-03-12,Eggs,Grocery,5,4881,Chennai
2025-03-24,Coffee,Grocery,5,1508,Mumbai
2025-02-06,Milk,Grocery,14,3121,Delhi
2025-02-25,Eggs,Grocery,16,845,Chennai
2025-02-12,Milk,Grocery,20,4748,Delhi
2025-01-21,Coffee,Grocery,6,2726,Delhi
2025-04-08,Lentils,Grocery,14,2909,Kolkata
2025-04-04,Bread,Grocery,3,3131,Mumbai
2025-02-16,Bread,Grocery,5,1497,Delhi
2025-03-07,Coffee,Grocery,15,1887,Delhi
2025-02-08,Chips,Grocery,13,2548,Delhi
2025-03-05,Milk,Grocery,1,1793,Delhi
2025-01-20,Eggs,Grocery,10,517,Delhi
2025-03-17,Milk,Grocery,16,211,Delhi
2025-03-02,Rice,Grocery,13,4023,Chennai
2025-02-21,Lentils,Grocery,11,368,Kolkata
2025-03-20,Bread,Grocery,10,3157,Delhi
2025-03-16,Milk,Grocery,15,3772,Kolkata
2025-02-25,Rice,Grocery,3,4575,Chennai
2025-02-17,Rice,Grocery,10,3349,Delhi
2025-03-02,Bread,Grocery,14,883,Mumbai
2025-02-26,Coffee,Grocery,13,1638,Kolkata
2025-04-03,Tea,Grocery,17,4540,Kolkata
2025-03-08,Butter,Grocery,9,1192,Delhi
2025-03-19,Bread,Grocery,8,2401,Delhi
2025-02-11,Chips,Grocery,19,1924,Delhi
2025-01-24,Tea,Grocery,2,3614,Mumbai
2025-03-01,Lentils,Grocery,4,440,Chennai
2025-04-13,Chips,Grocery,3,1551,Chennai
2025-02-27,Eggs,Grocery,19,4833,Delhi
2025-02-15,Bread,Grocery,15,3375,Delhi
2025-04-06,Tea,Grocery,6,4508,Delhi
2025-04-14,Tea,Grocery,4,4724,Chennai
2025-01-19,Eggs,Grocery,4,387,Mumbai
2025-03-22,Coffee,Grocery,6,3101,Kolkata
2025-02-24,Rice,Grocery,3,3016,Kolkata
2025-04-02,Tea,Grocery,9,4659,Mumbai
2025-03-04,Milk,Grocery,19,726,Chennai
2025-02-08,Lentils,Grocery,14,1899,Delhi
2025-04-03,Butter,Grocery,19,1902,Delhi
2025-04-12,Rice,Grocery,4,3602,Delhi
2025-02-28,Lentils,Grocery,2,2354,Mumbai
2025-04-01,Bread,Grocery,3,2076,Chennai
2025-01-23,Milk,Grocery,8,2719,Kolkata
2025-02-25,Rice,Grocery,16,2882,Chennai
2025-02-08,Lentils,Grocery,14,1810,Chennai
2025-04-10,Coffee,Grocery,16,3974,Chennai
2025-04-02,Milk,Grocery,4,807,Kolkata
2025-04-04,Coffee,Grocery,19,3288,Delhi
2025-04-11,Eggs,Grocery,19,1803,Delhi
2025-03-02,Tea,Grocery,5,2182,Kolkata
2025-04-10,Coffee,Grocery,2,317,Kolkata
2025-02-06,Rice,Grocery,17,882,Chennai
2025-02-20,Bread,Grocery,11,1574,Delhi
2025-02-26,Bread,Grocery,6,2016,Chennai
2025-01-22,Tea,Grocery,20,2531,Kolkata
2025-02-11,Milk,Grocery,8,4048,Kolkata
2025-01-23,Coffee,Grocery,6,1874,Kolkata
2025-02-26,Bread,Grocery,16,2288,Delhi
2025-02-10,Butter,Grocery,6,1088,Mumbai
2025-02-22,Coffee,Grocery,3,1078,Chennai
2025-02-23,Eggs,Grocery,5,2652,Chennai
2025-02-07,Butter,Grocery,20,2066,Delhi
2025-01-18,Tea,Grocery,9,953,Mumbai
2025-03-06,Lentils,Grocery,16,4173,Delhi
2025-04-05,Tea,Grocery,6,164,Mumbai
2025-03-27,Chips,Grocery,5,1677,Delhi
2025-03-26,Butter,Grocery,15,3904,Delhi
2025-02-09,Eggs,Grocery,7,3412,Mumbai
2025-03-29,Rice,Grocery,14,288,Mumbai
2025-03-21,Eggs,Grocery,13,407,Delhi
2025-02-21,Milk,Grocery,16,3236,Kolkata
2025-03-31,Bread,Grocery,5,2535,Kolkata
2025-02-14,Eggs,Grocery,4,471,Kolkata
2025-03-21,Lentils,Grocery,4,1158,Delhi
2025-02-15,Coffee,Grocery,7,1343,Kolkata
2025-02-18,Eggs,Grocery,3,268,Kolkata
2025-04-03,Chips,Grocery,4,3596,Mumbai
2025-04-05,Butter,Grocery,12,1004,Delhi
2025-01-23,Lentils,Grocery,5,1141,Mumbai
2025-03-15,Chips,Grocery,15,3448,Mumbai
2025-02-18,Tea,Grocery,14,2743,Delhi
2025-02-14,Tea,Grocery,18,4259,Delhi
2025-03-05,Butter,Grocery,15,767,Delhi
2025-01-31,Milk,Grocery,17,2111,Mumbai
2025-02-25,Coffee,Grocery,6,2062,Delhi
2025-04-01,Coffee,Grocery,8,4189,Kolkata
2025-04-13,Bread,Grocery,13,1951,Chennai
2025-04-15,Coffee,Grocery,8,3003,Delhi
2025-04-11,Rice,Grocery,5,1178,Kolkata
2025-03-18,Tea,Grocery,12,3604,Mumbai
2025-04-05,Butter,Grocery,7,1780,Delhi
2025-01-20,Lentils,Grocery,6,2510,Delhi
2025-03-15,Eggs,Grocery,10,4884,Mumbai
2025-02-11,Milk,Grocery,6,4140,Delhi
2025-02-24,Milk,Grocery,14,2777,Delhi
2025-03-09,Milk,Grocery,5,4439,Delhi
2025-04-09,Coffee,Grocery,9,2612,Kolkata
2025-03-20,Butter,Grocery,18,1212,Delhi
2025-01-25,Coffee,Grocery,1,3326,Delhi
2025-02-14,Rice,Grocery,12,3785,Chennai
2025-02-03,Coffee,Grocery,10,1768,Delhi
2025-03-17,Rice,Grocery,19,3834,Delhi
2025-02-04,Lentils,Grocery,19,3555,Delhi
2025-02-21,Coffee,Grocery,11,1572,Chennai
2025-04-06,Chips,Grocery,15,4981,Mumbai
2025-01-21,Chips,Grocery,2,744,Delhi
2025-02-14,Rice,Grocery,12,1806,Delhi
2025-03-08,Milk,Grocery,6,2228,Delhi
2025-04-01,Tea,Grocery,2,1512,Mumbai
2025-03-09,Bread,Grocery,4,4815,Kolkata
2025-03-12,Rice,Grocery,2,2294,Chennai
2025-02-09,Milk,Grocery,20,793,Kolkata
2025-01-24,Milk,Grocery,16,3848,Delhi
2025-03-19,Coffee,Grocery,10,3605,Mumbai
2025-01-26,Coffee,Grocery,20,693,Mumbai
2025-03-25,Rice,Grocery,15,2631,Chennai
2025-04-04,Eggs,Grocery,17,900,Kolkata
2025-02-15,Bread,Grocery,19,4754,Kolkata
2025-02-27,Coffee,Grocery,18,967,Chennai
2025-02-20,Chips,Grocery,3,4139,Kolkata
2025-03-30,Lentils,Grocery,20,3218,Delhi
2025-02-17,Tea,Grocery,2,1606,Delhi
2025-04-12,Rice,Grocery,4,4697,Chennai
2025-02-17,Eggs,Grocery,13,2130,Delhi
2025-01-31,Eggs,Grocery,17,301,Delhi
2025-03-22,Butter,Grocery,15,3611,Kolkata
2025-02-25,Eggs,Grocery,2,3477,Chennai
2025-03-12,Chips,Grocery,4,4195,Chennai
2025-02-01,Butter,Grocery,19,135,Delhi
2025-04-07,Milk,Grocery,4,1812,Delhi
2025-02-04,Tea,Grocery,11,398,Mumbai
2025-02-15,Milk,Grocery,1,3586,Delhi
2025-03-19,Lentils,Grocery,8,4571,Delhi
2025-02-18,Rice,Grocery,6,2678,Chennai
2025-03-21,Rice,Grocery,4,3047,Mumbai
2025-03-28,Lentils,Grocery,2,2222,Mumbai
2025-01-18,Lentils,Grocery,12,2319,Delhi
2025-02-26,Eggs,Grocery,10,3610,Delhi
2025-02-24,Eggs,Grocery,8,4918,Kolkata
2025-04-08,Tea,Grocery,8,1830,Kolkata
2025-02-24,Rice,Grocery,19,4724,Kolkata
2025-02-24,Butter,Grocery,5,544,Delhi
2025-04-10,Rice,Grocery,9,1759,Delhi
2025-03-16,Butter,Grocery,12,4268,Kolkata
2025-01-16,Milk,Grocery,7,2160,Kolkata
2025-02-11,Chips,Grocery,17,2249,Kolkata
2025-01-19,Rice,Grocery,14,1119,Delhi
2025-04-03,Tea,Grocery,7,4946,Delhi
2025-02-16,Rice,Grocery,19,3129,Delhi
2025-04-06,Eggs,Grocery,16,1869,Delhi
2025-03-06,Bread,Grocery,14,3762,Delhi
2025-04-12,Lentils,Grocery,12,3547,Delhi
2025-03-19,Milk,Grocery,9,4122,Mumbai
2025-01-22,Milk,Grocery,20,354,Delhi
