Date,Product,Category,Quantity,Price,Region
2025-01-28,Hoodie,Clothing,2,4625,Delhi
2025-04-10,Jacket,Clothing,3,4820,Mumbai
2025-04-05,Socks,Clothing,20,859,Hyderabad
2025-03-22,Sneakers,Clothing,14,4403,Mumbai
2025-02-22,Cap,Clothing,17,2120,Bangalore
2025-03-13,Cap,Clothing,6,1109,Bangalore
2025-01-18,Jacket,Clothing,16,3127,Bangalore
2025-03-21,T-Shirt,Clothing,20,576,Delhi
2025-04-13,T-Shirt,Clothing,17,2674,Mumbai
2025-02-28,Socks,Clothing,5,4930,Chennai
2025-03-30,Hoodie,Clothing,8,1863,Bangalore
2025-03-28,Hoodie,Clothing,6,2166,Bangalore
2025-03-09,Socks,Clothing,15,255,Delhi
2025-03-17,Socks,Clothing,2,3038,Mumbai
2025-03-07,Jacket,Clothing,18,1244,Mumbai
2025-02-24,Jeans,Clothing,13,700,Hyderabad
2025-02-08,Hoodie,Clothing,16,551,Chennai
2025-02-12,Hoodie,Clothing,18,1274,Bangalore
2025-04-11,Blazer,Clothing,11,3601,Chennai
2025-04-14,Blazer,Clothing,13,4355,Bangalore
2025-04-01,Jacket,Clothing,6,3400,Chennai
2025-02-15,Sneakers,Clothing,3,620,Hyderabad
2025-03-04,Jeans,Clothing,5,1947,Bangalore
2025-03-23,Blazer,Clothing,17,4114,Delhi
2025-03-10,Jacket,Clothing,16,2746,Delhi
2025-02-04,Blazer,Clothing,16,2114,Chennai
2025-03-15,Socks,Clothing,5,4536,Mumbai
2025-03-13,Jeans,Clothing,19,1519,Mumbai
2025-02-14,T-Shirt,Clothing,14,3009,Chennai
2025-03-29,Blazer,Clothing,5,343,Delhi
2025-01-22,Blazer,Clothing,2,4464,Chennai
2025-01-28,Hoodie,Clothing,10,1564,Chennai
2025-01-30,Blazer,Clothing,6,4482,Chennai
2025-03-09,Jacket,Clothing,20,140,Bangalore
2025-01-21,Cap,Clothing,5,1286,Chennai
2025-02-08,Jeans,Clothing,5,4363,Mumbai
2025-03-08,Blazer,Clothing,2,3510,Hyderabad
2025-02-02,Blazer,Clothing,15,4011,Chennai
2025-03-10,Jacket,Clothing,13,2362,Delhi
2025-01-20,Jeans,Clothing,1,742,Mumbai
2025-02-19,Jeans,Clothing,14,2714,Mumbai
2025-02-12,Sneakers,Clothing,20,4373,Bangalore
2025-04-15,Jacket,Clothing,16,3803,Chennai
2025-03-02,Socks,Clothing,16,1903,Mumbai
2025-04-07,Jacket,Clothing,16,4598,Chennai
2025-02-22,Blazer,Clothing,17,353,Mumbai
2025-01-30,Socks,Clothing,16,1697,Mumbai
2025-01-26,Sneakers,Clothing,1,1261,Bangalore
2025-03-27,Jeans,Clothing,15,1340,Mumbai
2025-02-26,Cap,Clothing,15,3284,Delhi
2025-03-26,T-Shirt,Clothing,18,3942,Chennai
2025-01-21,T-Shirt,Clothing,12,4615,Bangalore
2025-03-20,Jacket,Clothing,5,3183,Chennai
2025-03-04,Blazer,Clothing,12,612,Delhi
2025-04-14,Jacket,Clothing,11,121,Mumbai
2025-03-30,Socks,Clothing,12,2513,Bangalore
2025-02-26,Cap,Clothing,9,2080,Bangalore
2025-01-28,Cap,Clothing,5,1045,Delhi
2025-03-20,Cap,Clothing,9,2818,Bangalore
2025-02-27,Blazer,Clothing,19,1944,Bangalore
2025-04-13,Hoodie,Clothing,6,4561,Mumbai
2025-03-05,Jeans,Clothing,9,4652,Mumbai
2025-04-15,Jeans,Clothing,3,155,Bangalore
2025-02-04,Hoodie,Clothing,2,3250,Hyderabad
2025-01-23,Hoodie,Clothing,1,3781,Mumbai
2025-03-23,Hoodie,Clothing,14,1369,Mumbai
2025-02-23,Sneakers,Clothing,11,4084,Mumbai
2025-03-16,Sneakers,Clothing,9,492,Delhi
2025-03-27,Socks,Clothing,1,1417,Chennai
2025-03-27,T-Shirt,Clothing,5,1468,Bangalore
2025-01-29,Cap,Clothing,14,231,Hyderabad
2025-03-01,Socks,Clothing,17,2612,Mumbai
2025-02-11,Sneakers,Clothing,10,3710,Bangalore
2025-02-13,T-Shirt,Clothing,16,107,Bangalore
2025-02-10,Sneakers,Clothing,9,841,Mumbai
2025-02-09,Hoodie,Clothing,14,4698,Delhi
2025-04-03,Jeans,Clothing,1,121,Bangalore
2025-04-11,Blazer,Clothing,2,658,Hyderabad
2025-02-10,Jacket,Clothing,11,992,Hyderabad
2025-01-19,Cap,Clothing,19,4557,Bangalore
2025-01-16,Jacket,Clothing,18,4286,Chennai
2025-03-05,Jacket,Clothing,15,2335,Chennai
2025-01-22,Hoodie,Clothing,7,2293,Delhi
2025-02-22,Jeans,Clothing,9,2533,Hyderabad
2025-03-14,Cap,Clothing,11,4523,Hyderabad
2025-02-19,Jacket,Clothing,18,338,Chennai
2025-04-02,Sneakers,Clothing,3,4916,Hyderabad
2025-03-03,T-Shirt,Clothing,1,1566,Delhi
2025-03-11,Blazer,Clothing,5,904,Chennai
2025-04-09,Blazer,Clothing,4,2152,Mumbai
2025-01-21,Socks,Clothing,19,2926,Bangalore
2025-02-08,T-Shirt,Clothing,2,914,Delhi
2025-03-14,Jacket,Clothing,4,2739,Bangalore
2025-01-26,T-Shirt,Clothing,5,1963,Hyderabad
2025-03-17,Jacket,Clothing,15,2867,Chennai
2025-01-21,Sneakers,Clothing,5,3547,Bangalore
2025-03-01,T-Shirt,Clothing,14,1276,Hyderabad
2025-03-16,Socks,Clothing,7,4530,Mumbai
2025-03-11,Jacket,Clothing,5,3044,Hyderabad
2025-04-10,Cap,Clothing,12,4105,Delhi
2025-02-23,Jacket,Clothing,16,3459,Delhi
2025-04-07,Sneakers,Clothing,4,4108,Chennai
2025-02-02,Cap,Clothing,11,2400,Chennai
2025-03-26,Hoodie,Clothing,16,3462,Hyderabad
2025-02-01,Jeans,Clothing,15,3890,Delhi
2025-04-12,Sneakers,Clothing,1,718,Mumbai
2025-04-07,Jacket,Clothing,5,648,Bangalore
2025-01-25,Blazer,Clothing,3,4908,Delhi
2025-02-16,Blazer,Clothing,15,4394,Delhi
2025-02-23,T-Shirt,Clothing,18,522,Chennai
2025-02-03,Jacket,Clothing,20,4208,Chennai
2025-02-14,Hoodie,Clothing,3,4251,Delhi
2025-04-03,Jeans,Clothing,8,3665,Hyderabad
2025-02-23,Jeans,Clothing,12,1585,Delhi
2025-03-23,Blazer,Clothing,10,3092,Chennai
2025-03-21,Socks,Clothing,10,200,Chennai
2025-02-02,Socks,Clothing,14,2709,Mumbai
2025-03-17,Sneakers,Clothing,9,1558,Bangalore
2025-03-17,Socks,Clothing,7,1237,Bangalore
2025-02-21,Jacket,Clothing,14,906,Delhi
2025-04-15,Socks,Clothing,2,1186,Hyderabad
2025-03-24,Sneakers,Clothing,1,493,Hyderabad
2025-03-07,Hoodie,Clothing,3,3175,Delhi
2025-03-24,Jacket,Clothing,8,915,Bangalore
2025-03-25,T-Shirt,Clothing,9,4536,Mumbai
2025-03-09,Sneakers,Clothing,4,2302,Mumbai
2025-03-11,Jeans,Clothing,7,2918,Hyderabad
2025-03-27,Jeans,Clothing,9,142,Hyderabad
2025-01-18,Blazer,Clothing,13,3455,Chennai
2025-01-19,Blazer,Clothing,3,2737,Delhi
2025-03-19,Blazer,Clothing,10,4481,Mumbai
2025-04-04,Cap,Clothing,9,2589,Mumbai
2025-03-24,T-Shirt,Clothing,15,4062,Bangalore
2025-04-04,Socks,Clothing,4,3907,Delhi
2025-01-23,T-Shirt,Clothing,15,669,Hyderabad
2025-03-26,Jacket,Clothing,8,1459,Chennai
2025-02-20,Cap,Clothing,13,2478,Delhi
2025-02-06,T-Shirt,Clothing,19,552,Bangalore
2025-01-23,Socks,Clothing,8,3596,Mumbai
2025-03-18,Socks,Clothing,17,1802,Chennai
2025-03-22,T-Shirt,Clothing,19,2484,Hyderabad
2025-03-20,Jeans,Clothing,11,1374,Mumbai
2025-03-22,Jacket,Clothing,7,588,Chennai
2025-01-23,Sneakers,Clothing,5,2663,Bangalore
2025-03-12,Sneakers,Clothing,1,1075,Chennai
2025-03-04,Cap,Clothing,16,3076,Mumbai
2025-03-18,Jacket,Clothing,10,315,Chennai
2025-01-16,Blazer,Clothing,12,3170,Chennai
2025-02-22,Blazer,Clothing,11,2097,Hyderabad
2025-02-20,Cap,Clothing,6,2265,Bangalore
2025-01-25,Blazer,Clothing,20,4348,Hyderabad
2025-02-18,Blazer,Clothing,18,2200,Delhi
2025-02-07,T-Shirt,Clothing,18,2185,Bangalore
2025-02-24,Jeans,Clothing,12,2807,Hyderabad
2025-03-15,Blazer,Clothing,20,2067,Delhi
2025-03-07,T-Shirt,Clothing,16,999,Mumbai
2025-03-04,Sneakers,Clothing,5,4374,Mumbai
2025-03-21,Cap,Clothing,9,478,Hyderabad
2025-03-26,Hoodie,Clothing,16,4724,Mumbai
2025-03-13,Socks,Clothing,9,4088,Chennai
2025-03-22,T-Shirt,Clothing,14,4059,Chennai
2025-04-12,Blazer,Clothing,4,4127,Chennai
2025-03-27,Socks,Clothing,5,3263,Hyderabad
2025-03-08,Hoodie,Clothing,12,127,Hyderabad
2025-03-09,T-Shirt,Clothing,18,1307,Bangalore
2025-03-24,Jacket,Clothing,20,3037,Hyderabad
2025-03-08,Jacket,Clothing,18,2915,Delhi
2025-03-08,Socks,Clothing,13,1641,Mumbai
2025-02-23,Hoodie,Clothing,8,4551,Mumbai
2025-03-12,T-Shirt,Clothing,5,3447,Mumbai
2025-02-26,Hoodie,Clothing,13,1994,Mumbai
2025-02-15,Blazer,Clothing,1,1906,Bangalore
2025-02-05,T-Shirt,Clothing,4,3151,Delhi
2025-03-14,T-Shirt,Clothing,3,4220,Chennai
2025-03-05,Cap,Clothing,5,3421,Delhi
2025-03-06,Cap,Clothing,12,4631,Bangalore
2025-03-17,Socks,Clothing,19,3507,Delhi
2025-03-06,Blazer,Clothing,13,3187,Hyderabad
2025-03-07,Socks,Clothing,11,271,Delhi
2025-03-31,Hoodie,Clothing,14,4666,Mumbai
2025-04-14,Jacket,Clothing,2,4823,Mumbai
2025-02-27,Sneakers,Clothing,16,4919,Hyderabad
2025-04-01,Hoodie,Clothing,1,4212,Delhi
2025-03-14,Jeans,Clothing,13,1244,Bangalore
2025-01-23,Cap,Clothing,16,3639,Bangalore
2025-03-17,Hoodie,Clothing,8,1833,Mumbai
2025-02-21,Socks,Clothing,15,3639,Bangalore
